deviceIotCenter,DeviceIotCenter_StopRtcAudio,post,/v1/StopRtcAudio
deviceIotCenter,DeviceIotCenter_StopRtcLive,post,/v1/StopRtcLive
deviceIotCenter,DeviceIotCenter_StopRTMPLive,post,/v1/StopRTMPLive


argusDatacenter,DC_GetOriginMetaInfo,get,/sensego/datacenter/unicron/meta/origin_meta_info

argusDb,DB_BatchSearchFeature,post,/argus/v1/db/batch_search/feature
argusDb,DB_BatchSearchImage,post,/argus/v1/db/batch_search/image
argusDb,DB_GetBgImage,get,/argus/v1/db/bg_image
argusDb,DB_DeletePerson,post,/argus/v1/db/delete_person
argusDb,DB_DeleteStaticGroup,post,/argus/v1/db/delete_static_group
argusDb,DB_DeleteStreamGroup,post,/argus/v1/db/delete_stream_group
argusDb,DB_ImageDetect,post,/argus/v1/db/image_detect
argusDb,DB_GetPerson,get,/argus/v1/db/person
argusDb,DB_CreatePerson,post,/argus/v1/db/person
argusDb,DB_ListPerson,get,/argus/v1/db/person/list
argusDb,DB_CreatePersonByFeature,post,/argus/v1/db/person_by_feature
argusDb,DB_SearchFeature,post,/argus/v1/db/search/feature
argusDb,DB_SearchImage,post,/argus/v1/db/search/image
argusDb,DB_SearchImageMultiFace,post,/argus/v1/db/search/image/multi_face
argusDb,DB_GetStaticGroup,get,/argus/v1/db/static_group
argusDb,DB_CreateStaticGroup,post,/argus/v1/db/static_group
argusDb,DB_ListStaticGroup,get,/argus/v1/db/static_group/list
argusDb,DB_GetStreamGroup,get,/argus/v1/db/stream_group
argusDb,DB_CreateStreamGroup,post,/argus/v1/db/stream_group
argusDb,DB_ListStreamGroup,get,/argus/v1/db/stream_group/list
argusDb,DB_UpdatePerson,post,/argus/v1/db/update_person
argusDb,DB_UpdateStaticGroup,post,/argus/v1/db/update_static_group
argusDb,DB_UpdateStreamGroup,post,/argus/v1/db/update_stream_group

argusIps,CompareFeature,post,/v1/ips/compare_feature
argusIps,CompareImage,post,/v1/ips/compare_image
argusIps,FaceDetect,post,/v1/ips/face_detect
argusIps,FaceDetectAndExtract,post,/v1/ips/face_detect_and_extract
argusIps,FaceDetectAndExtractAll,post,/v1/ips/face_detect_and_extract_all
argusIps,FaceExtractWithBounding,post,/v1/ips/face_extract_with_bounding
argusIps,FaceDetectAndExtractWithOverlap,post,/v1/ips/face_extract_with_overlap
#argusIps,StructDetect,post,/v1/ips/struct_detect
#argusIps,StructDetectAndExtract,post,/v1/ips/struct_detect_and_extract
#argusIps,StructExtractWithBounding,post,/v1/ips/struct_extract_with_bounding
argusIps,OCRTemplate,post,/v1/ocr/template

argusPedestrian,Pedestrain_Recognize,post,/argus/v1/recognize/pedestrian

argusRrs,Tenant_AddRGroup,post,/sensego/v1/tenant/add-r-group
argusRrs,Tenant_AddRGroupAkRelation,post,/sensego/v1/tenant/add-r-group-ak-relation
argusRrs,Tenant_AddResource,post,/sensego/v1/tenant/add-resource
argusRrs,Tenant_AddTag,post,/sensego/v1/tenant/add-tag
argusRrs,Tenant_DeleteRGroup,post,/sensego/v1/tenant/delete-r-group
argusRrs,Tenant_DeleteResource,post,/sensego/v1/tenant/delete-resource
argusRrs,Tenant_DeleteTag,post,/sensego/v1/tenant/delete-tag
argusRrs,Tenant_GetRgroupByAk,get,/sensego/v1/tenant/get-rgroup-by-ak
#argusRrs,Tenant_ListAllocateGroup,get,/sensego/v1/tenant/list-allocate-group
argusRrs,Tenant_ListRGroup,get,/sensego/v1/tenant/list-r-group
argusRrs,Tenant_ListRGroupAkRelation,get,/sensego/v1/tenant/list-r-group-ak-relation
argusRrs,Tenant_ListResource,get,/sensego/v1/tenant/list-resource
#argusRrs,Tenant_ListResourceByRsType,get,/sensego/v1/tenant/list-resource-by-rstype
argusRrs,Tenant_ListTag,get,/sensego/v1/tenant/list-tag
#argusRrs,Tenant_Lookup,post,/sensego/v1/tenant/lookup
#argusRrs,Tenant_UpdateRGroup,post,/sensego/v1/tenant/update-r-group
argusRrs,Tenant_UpdateResource,post,/sensego/v1/tenant/update-resource
argusRrs,Tenant_UpdateTag,post,/sensego/v1/tenant/update-tag
